Group_ID,Group,COWMasterCountry,Continent,Latitude,Longitude,Country,Fatalities,Territories
82,Armed_Islamic_Group,Algeria,Africa,36.75,3.05,Algeria,401,0
9904,Salafist_Group_for_Call_and_Combat,Algeria,Africa,36.75,3.05,Algeria,8,0
185,Front_for_the_Liberation_of_the_Cabinda_Enclave,Angola,Africa,-8.833,13.217,Angola,6,0
9973,UNITA,Angola,Africa,-8.833,13.217,Angola,270,1
304,Movement_for_Democracy_and_Justice_in_Chad,Chad,Africa,12.1,15.033,Chad,1,1
9846,Popular_Self-Defense_Forces,Congo,Africa,-4.317,15.3,Congo,0,1
20017,Battalion_of_the_Martyr_Abdullah_Azzam,Egypt,Africa,30.05,31.25,Egypt,3,0
158,Egyptian_Islamic_Jihad,Egypt,Africa,30.05,31.25,Egypt,1,0
30030,Islamic_Glory_Brigades_in_the_Land_of_the_Nile,Egypt,Africa,30.05,31.25,Egypt,4,0
30039,Tawhid_Islamic_Brigades,Egypt,Africa,30.05,31.25,Egypt,34,0
19,al-Gama'a_al-Islamiyya,Egypt,Africa,30.05,31.25,Egypt,4,0
20026,Eritrean_Islamic_Jihad_Movement,Eritrea,Africa,15.333,38.933,Eritrea,2,0
9812,Oromo_Liberation_Front,Ethiopia,Africa,9.033,38.7,Ethiopia,15,0
202,Harakat_al-Shuhada'a_al-Islamiyah,Libya,Africa,32.883,13.167,Libya,4,0
30037,Salafia_Jihadia,Morocco,Africa,34.017,-6.817,Morocco,1,0
210,Hisba,Nigeria,Africa,9.083,7.533,Nigeria,0,1
20031,Iduwini_Youths,Nigeria,Africa,9.083,7.533,Nigeria,0,0
30036,Odua_Peoples'_Congress,Nigeria,Africa,9.083,7.533,Nigeria,0,0
81,Armed_Forces_Revolutionary_Council,SierraLeone,Africa,8.483,-13.233,Sierra_Leone,0,1
9896,Revolutionary_United_Front,SierraLeone,Africa,8.483,-13.233,Sierra_Leone,0,1
312,Muslims_Against_Global_Oppression,SouthAfrica,Africa,-25.7,28.217,South_Africa,1,0
321,National_Warriors,SouthAfrica,Africa,-25.7,28.217,South_Africa,1,0
9824,People_Against_Gangsterism_And_Drugs,SouthAfrica,Africa,-25.7,28.217,South_Africa,0,0
